@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute class {vessel,nonvascular,background}

@data
248,0,248,0.180335,-0.166087,1.066193,0.036233,2.030703,247.978088,3.281936,0.021912,0.054654,-0.00579,-0.003496,0.002068,245.588501,16.832529,2.411499,2.389587,0.004978,-0.001296,-0.000113,-0.000014,225.601944,15.315278,22.398056,22.376144,19.986557,0.001675,-0.000035,-0.000004,0,181.614532,15.967951,66.385468,66.363556,63.973969,43.987411,0.000322,0,0,0,vessel
248,1.414214,248.001648,1.608068,0.338037,0.3462,-1.139354,0.751439,248.000687,6.076474,0.000961,0.1241,-0.017858,0.034531,-0.008189,244.919586,24.660721,3.082062,3.0811,0.012408,-0.002282,-0.00008,-0.00005,223.844238,13.934867,24.15741,24.156448,21.075348,0.001924,-0.000043,-0.000002,0,180.223572,14.921538,67.778076,67.777115,64.696014,43.620667,0.000322,-0.000001,0,0,vessel
248,4.24264,248.075897,4.361207,0.312842,-0.4471,-1.234881,-2.708949,248.224442,8.895676,-0.148544,0.14858,-0.003855,0.037681,-0.004942,244.532135,31.892452,3.543762,3.692307,0.018634,-0.002961,-0.000049,-0.000072,222.312225,15.1929,25.763672,25.912216,22.21991,0.002232,-0.000045,-0.000001,0,178.914108,13.511842,69.161789,69.310333,65.618027,43.398117,0.00032,-0.000001,0,0,vessel
249,7.071068,249.075897,7.246553,-0.039948,-0.343731,-0.245883,-2.210419,249.194031,12.212636,-0.118134,0.103333,0.021627,-0.011834,0.001778,244.739029,42.050682,4.336868,4.455002,0.028146,-0.003159,0.000037,-0.000076,220.199219,22.620327,28.876678,28.994812,24.53981,0.002918,-0.000036,0.000001,0,176.679611,10.158015,72.396286,72.51442,68.059418,43.519608,0.000313,-0.000001,0,0,vessel
251,2,250.996735,2.232635,-0.004028,-0.161446,-0.41562,0.525326,250.811386,3.103536,0.185349,0.060477,0.003033,-0.013986,-0.005552,247.595139,5.878326,3.401596,3.216248,0.041708,-0.001181,0.000362,-0.000014,220.360001,17.065317,30.636734,30.451385,27.235138,0.003334,-0.000005,0.000004,0,173.607895,18.790855,77.38884,77.203491,73.987244,46.752106,0.000284,-0.000001,0,0,vessel
251,1.414214,250.998337,3.344576,0.090713,-0.577173,-1.109726,-1.48079,250.593399,19.209389,0.404938,0.087721,0.017798,-0.004426,-0.004272,244.333008,58.163582,6.665329,6.260391,0.046633,-0.000172,0.000544,0.000027,215.929062,62.594738,35.069275,34.664337,28.403946,0.003218,0.000008,0.000005,0,170.053345,30.597672,80.944992,80.540054,74.279663,45.875717,0.000259,-0.000001,0,0,vessel
251,4.24264,250.995071,5.86564,0.295447,0.651547,-0.308065,-2.282603,250.474274,19.46224,0.520798,0.140907,0.015913,0.014644,-0.004918,244.450394,54.459656,6.544678,6.02388,0.048585,0.000176,0.000593,0.000033,216.75679,59.657326,34.238281,33.717484,27.693604,0.00335,0.000012,0.000005,0,169.629715,29.564711,81.365356,80.844559,74.820679,47.127075,0.000252,-0.000001,0,0,vessel
251,12.727922,250.772324,13.052452,0.484036,0.644731,3.184861,6.746988,249.785324,19.437794,0.987,0.163549,0.008022,0.023944,-0.012523,244.405884,49.437603,6.36644,5.37944,0.047403,0.000542,0.00057,0.000022,217.594345,56.492733,33.177979,32.190979,26.811539,0.00338,0.000014,0.000005,0,169.124573,28.674891,81.647751,80.660751,75.281311,48.469772,0.000244,-0.000002,0,0,vessel
248,29.427877,247.725296,35.884583,0.664598,-1.330541,0.541125,-15.783862,245.556473,71.225174,2.168823,0.097169,-0.031408,0.023517,-0.008623,235.717133,105.635384,12.008163,9.83934,0.037595,-0.000471,0.000388,-0.000031,208.896698,95.09745,38.828598,36.659775,26.820435,0.002808,-0.000001,0.000004,0,164.276688,39.158714,83.448608,81.279785,71.440445,44.62001,0.000219,-0.000002,0,0,vessel
248,13.038404,247.836685,19.27762,0.658397,0.443313,3.406175,10.790151,246.062759,53.514511,1.773926,0.038995,-0.065646,0.00066,-0.017165,236.988876,91.608955,10.847809,9.073883,0.029074,-0.000546,0.000258,-0.000051,209.682434,89.569405,38.154251,36.380325,27.306442,0.002631,-0.000011,0.000003,0,163.483643,38.239189,84.353043,82.579117,73.505234,46.198792,0.00021,-0.000002,0,0,vessel
